PROVINSI,KABUPATEN,KECAMATAN,KELURAHAN,LUAS_WILAYAH,JUMLAH_PENDUDUK,KEPADATAN_PENDUDUK,KRS,BPJS,IDM
SULAWESI BARAT,MAJENE,BANGGAE,BANGGAE,2.27,4551,2004.85,190,609,
SULAWESI BARAT,MAJENE,BANGGAE,BARU,2.46,5625,2286.59,535,223,
SULAWESI BARAT,MAJENE,BANGGAE,GALUNG,2.14,3348,1564.49,329,478,
SULAWESI BARAT,MAJENE,BANGGAE,PALIPI SOREANG,4.12,2346,569.42,162,241,MAJU
SULAWESI BARAT,MAJENE,BANGGAE,PAMBOBORANG,3.11,2442,785.21,217,335,MAJU
SULAWESI BARAT,MAJENE,BANGGAE,PANGALI ALI,4.49,9461,2107.13,540,698,
SULAWESI BARAT,MAJENE,BANGGAE,RANGAS,2.23,7945,3562.78,625,690,
SULAWESI BARAT,MAJENE,BANGGAE,TOTOLI,4.33,5459,1260.74,528,278,
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,BARUGA,6.28,1957,311.62,102,620,
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,BARUGA DHUA,7.69,1500,195.06,115,569,
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,BAURUNG,2.14,5066,2367.29,319,943,
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,BUTTU BARUGA,1.34,869,648.51,89,607,BERKEMBANG
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,LABUANG,0.26,4512,17353.85,201,602,
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,LABUANG UTARA,1.15,4934,4290.43,362,976,
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,LEMBANG,2.71,6313,2329.52,406,486,
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,TANDE,4.82,1549,321.37,116,753,
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,TANDE TIMUR,3.65,2048,561.1,102,813,
SULAWESI BARAT,MAJENE,MALUNDA,BAMBANGAN,4.63,1631,352.27,277,889,TERTINGGAL
SULAWESI BARAT,MAJENE,MALUNDA,KAYUANGIN,1.76,1655,940.34,133,672,BERKEMBANG
SULAWESI BARAT,MAJENE,MALUNDA,LAMUNGANG BATU,3.03,2005,661.72,194,419,
SULAWESI BARAT,MAJENE,MALUNDA,LOMBANG,12.83,1040,81.06,114,489,TERTINGGAL
SULAWESI BARAT,MAJENE,MALUNDA,LOMBANG TIMUR,75.9,898,11.83,173,132,TERTINGGAL
SULAWESI BARAT,MAJENE,MALUNDA,LOMBONG,2.69,2174,808.18,171,678,MAJU
SULAWESI BARAT,MAJENE,MALUNDA,LOMBONG TIMUR,3.34,1198,358.68,158,188,MAJU
SULAWESI BARAT,MAJENE,MALUNDA,MALIAYA,2.17,2164,997.24,111,367,BERKEMBANG
SULAWESI BARAT,MAJENE,MALUNDA,MALUNDA,4.29,2367,551.75,131,632,
SULAWESI BARAT,MAJENE,MALUNDA,MEKKATTA,22.6,2326,102.92,153,234,BERKEMBANG
SULAWESI BARAT,MAJENE,MALUNDA,MEKKATTA SELATAN,2.11,1065,504.74,98,732,BERKEMBANG
SULAWESI BARAT,MAJENE,MALUNDA,SALUTAHONGAN,10.74,1147,106.8,145,482,TERTINGGAL
SULAWESI BARAT,MAJENE,PAMBOANG,ADOLANG,7.37,1129,153.19,33,620,BERKEMBANG
SULAWESI BARAT,MAJENE,PAMBOANG,ADOLANG DHUA,11.15,1046,93.81,81,362,BERKEMBANG
SULAWESI BARAT,MAJENE,PAMBOANG,BABABULO,2.44,1894,776.23,172,560,BERKEMBANG
SULAWESI BARAT,MAJENE,PAMBOANG,BABABULO UTARA,2.33,1332,571.67,74,354,BERKEMBANG
SULAWESI BARAT,MAJENE,PAMBOANG,BALOMBONG,2.25,1382,614.22,56,974,BERKEMBANG
SULAWESI BARAT,MAJENE,PAMBOANG,BANUA ADOLANG,12.57,1182,94.03,84,181,SANGAT TERTINGGAL
SULAWESI BARAT,MAJENE,PAMBOANG,BETTENG,8.4,1164,138.57,90,134,TERTINGGAL
SULAWESI BARAT,MAJENE,PAMBOANG,BONDE,2.64,2554,967.42,157,653,MAJU
SULAWESI BARAT,MAJENE,PAMBOANG,BONDE UTARA,2.42,3822,1579.34,377,893,BERKEMBANG
SULAWESI BARAT,MAJENE,PAMBOANG,BUTTU PAMBOANG,4.92,955,194.11,41,165,BERKEMBANG
SULAWESI BARAT,MAJENE,PAMBOANG,LALAMPANUA,4.67,2019,432.33,79,918,
SULAWESI BARAT,MAJENE,PAMBOANG,PESULOANG,3.05,1050,344.26,47,555,BERKEMBANG
SULAWESI BARAT,MAJENE,PAMBOANG,SIMBANG,1.62,843,520.37,67,331,MAJU
SULAWESI BARAT,MAJENE,PAMBOANG,SIRINDU,2.45,1842,751.84,69,705,
SULAWESI BARAT,MAJENE,PAMBOANG,TINAMBUNG,2.63,2375,903.04,147,352,BERKEMBANG
SULAWESI BARAT,MAJENE,SENDANA,BANUA SENDANA,5.25,1676,319.24,214,418,
SULAWESI BARAT,MAJENE,SENDANA,BINANGA,8.44,789,93.48,26,654,
SULAWESI BARAT,MAJENE,SENDANA,BUKIT SAMANG,10.58,1452,137.24,82,385,
SULAWESI BARAT,MAJENE,SENDANA,LALATEDZONG,7.75,1143,147.48,65,746,MAJU
SULAWESI BARAT,MAJENE,SENDANA,LEPPANGANG,3.89,766,196.92,66,935,
SULAWESI BARAT,MAJENE,SENDANA,LIMBORO RAMBU-RAMBU,7.45,939,126.04,68,489,
SULAWESI BARAT,MAJENE,SENDANA,LIMBUA,7.17,2112,294.56,123,652,
SULAWESI BARAT,MAJENE,SENDANA,MOSSO,7.85,4551,579.75,154,125,BERKEMBANG
SULAWESI BARAT,MAJENE,SENDANA,MOSSO DHUA,10.87,1798,165.41,102,324,
SULAWESI BARAT,MAJENE,SENDANA,PAMINGGALAN,8.84,574,64.93,68,274,
SULAWESI BARAT,MAJENE,SENDANA,PUNDAU,11.72,692,59.04,27,426,
SULAWESI BARAT,MAJENE,SENDANA,PUTTADA,17.54,838,47.78,77,673,
SULAWESI BARAT,MAJENE,SENDANA,SENDANA,4.06,1048,258.13,134,485,
SULAWESI BARAT,MAJENE,SENDANA,TALLUBANUA,14.55,2149,147.7,174,659,TERTINGGAL
SULAWESI BARAT,MAJENE,SENDANA,TALLUBANUA UTARA,15.05,1758,116.81,87,142,
SULAWESI BARAT,MAJENE,SENDANA,TOTOLISI SENDANA,5.02,1810,360.56,64,717,BERKEMBANG
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,AWO,13.64,1804,132.26,268,891,
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,MANYAMBA,6.2,1414,228.06,170,784,
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,SEPPONG,8.15,1470,180.37,81,984,
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,TALLAMBALAO,15.47,1948,125.92,178,794,
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,TAMMERODO,3.6,2184,606.67,200,345,
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,TAMMERODO UTARA,2.83,2057,726.86,244,675,
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,ULIDANG,5.51,2060,373.87,114,984,
SULAWESI BARAT,MAJENE,TUBO SENDANA,BONDE BONDE,2.71,931,343.54,68,538,
SULAWESI BARAT,MAJENE,TUBO SENDANA,ONANG,13.64,3734,273.75,319,607,
SULAWESI BARAT,MAJENE,TUBO SENDANA,ONANG UTARA,3.63,1187,327,67,975,
SULAWESI BARAT,MAJENE,TUBO SENDANA,TUBO,3.38,1132,334.91,55,994,
SULAWESI BARAT,MAJENE,TUBO SENDANA,TUBO POANG,5.01,921,183.83,59,468,
SULAWESI BARAT,MAJENE,TUBO SENDANA,TUBO SELATAN,6.92,920,132.95,52,794,
SULAWESI BARAT,MAJENE,TUBO SENDANA,TUBO TENGAH,5.88,1034,175.85,52,621,
SULAWESI BARAT,MAJENE,ULUMANDA,KABIRAAN,25.62,1332,51.99,132,586,
SULAWESI BARAT,MAJENE,ULUMANDA,PANGGALO,69.53,1117,16.07,143,946,
SULAWESI BARAT,MAJENE,ULUMANDA,POPENGA,126.69,993,7.84,81,680,
SULAWESI BARAT,MAJENE,ULUMANDA,SALUTAMBUNG,36.26,1283,35.38,63,119,
SULAWESI BARAT,MAJENE,ULUMANDA,SAMBABO,20.88,1072,51.34,84,535,
SULAWESI BARAT,MAJENE,ULUMANDA,SULAI,12.52,938,74.92,17,116,
SULAWESI BARAT,MAJENE,ULUMANDA,TANDEALLO,58.89,1311,22.26,99,153,
SULAWESI BARAT,MAJENE,ULUMANDA,ULUMANDA,105.61,1138,10.78,167,242,
SULAWESI BARAT,MAMASA,ARALLE,ARALLE,5.27,948,179.89,76,479,
SULAWESI BARAT,MAMASA,ARALLE,ARALLE SELATAN,5.27,283,53.7,26,946,
SULAWESI BARAT,MAMASA,ARALLE,ARALLE UTARA,30.31,625,20.62,50,236,
SULAWESI BARAT,MAMASA,ARALLE,BARURU,40.42,627,15.51,82,257,
SULAWESI BARAT,MAMASA,ARALLE,HAHANGAN,8.79,288,32.76,24,247,
SULAWESI BARAT,MAMASA,ARALLE,KALABE,7.03,503,71.55,64,250,
SULAWESI BARAT,MAMASA,ARALLE,PAMOSEANG PANGGA,12.3,231,18.78,41,203,
SULAWESI BARAT,MAMASA,ARALLE,PANETEAN,29.87,524,17.54,24,285,
SULAWESI BARAT,MAMASA,ARALLE,RALLE ANAK,5.27,261,49.53,20,926,
SULAWESI BARAT,MAMASA,ARALLE,RALLEANAK UTARA,3.95,343,86.84,35,203,
SULAWESI BARAT,MAMASA,ARALLE,UHAIDAHO,8.79,675,76.79,51,934,
SULAWESI BARAT,MAMASA,ARALLE,UHAILANU,9.59,736,76.75,80,691,
SULAWESI BARAT,MAMASA,BALLA,BALLA,6.79,1136,167.3,39,232,
SULAWESI BARAT,MAMASA,BALLA,BALLA BARAT,5.33,668,125.33,62,270,
SULAWESI BARAT,MAMASA,BALLA,BALLA SATANETEAN,16.57,943,56.91,70,898,
SULAWESI BARAT,MAMASA,BALLA,BALLA TIMUR,3.32,226,68.07,43,148,
SULAWESI BARAT,MAMASA,BALLA,BALLA TUMUKA,10.05,777,77.31,106,953,
SULAWESI BARAT,MAMASA,BALLA,BAMBAPUANG,4.33,481,111.09,17,550,
SULAWESI BARAT,MAMASA,BALLA,PIDARA,5.07,452,89.15,55,756,
SULAWESI BARAT,MAMASA,BALLA,SEPAKUAN,8.07,1065,131.97,117,549,
SULAWESI BARAT,MAMASA,BAMBANG,BALATANA,2.27,381,167.84,61,351,
SULAWESI BARAT,MAMASA,BAMBANG,BAMBANG,5.33,1153,216.32,101,816,
SULAWESI BARAT,MAMASA,BAMBANG,BAMBANG TIMUR,2.84,629,221.48,93,467,
SULAWESI BARAT,MAMASA,BAMBANG,LIMBADEBATA,7.29,610,83.68,17,554,
SULAWESI BARAT,MAMASA,BAMBANG,MASOSO,6.81,404,59.32,10,632,
SULAWESI BARAT,MAMASA,BAMBANG,MINANGA,2.27,1207,531.72,138,127,
SULAWESI BARAT,MAMASA,BAMBANG,MOKALLANG,4.76,464,97.48,52,638,
SULAWESI BARAT,MAMASA,BAMBANG,RANTELEMO,2.27,367,161.67,3,241,
SULAWESI BARAT,MAMASA,BAMBANG,RANTETARIMA,8.85,292,32.99,29,131,
SULAWESI BARAT,MAMASA,BAMBANG,SALUASSING,3.74,873,233.42,9,427,
SULAWESI BARAT,MAMASA,BAMBANG,SALUBULO,3.74,449,120.05,36,150,
SULAWESI BARAT,MAMASA,BAMBANG,SALUDENGEN,8.73,476,54.52,38,155,
SULAWESI BARAT,MAMASA,BAMBANG,SALUKADI,5.67,618,108.99,13,260,
SULAWESI BARAT,MAMASA,BAMBANG,SALUKEPOPOK,1.7,862,507.06,48,504,
SULAWESI BARAT,MAMASA,BAMBANG,SALURURU,1.42,240,169.01,0,160,
SULAWESI BARAT,MAMASA,BAMBANG,SALUTABANG,3.18,310,97.48,35,152,
SULAWESI BARAT,MAMASA,BAMBANG,SIKAMASE,21.33,396,18.57,44,933,
SULAWESI BARAT,MAMASA,BAMBANG,TANETE TOMBA,2.84,336,118.31,13,900,
SULAWESI BARAT,MAMASA,BAMBANG,ULUMAMBI,33.11,703,21.23,104,772,
SULAWESI BARAT,MAMASA,BAMBANG,ULUMAMBI BARAT,8.02,609,75.94,36,238,
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,ARALLE TIMUR,26.36,696,26.4,90,108,
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,BUNTUMALANGKA,14.06,965,68.63,60,787,
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,KABAE,18.45,460,24.93,8,873,
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,KEBANGA,15.82,532,33.63,76,500,
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,PENATANGAN,13.18,834,63.28,118,908,
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,RANTEBERAN,35.58,1106,31.08,95,437,
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,SALURINDU,29.43,417,14.17,37,181,
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,SALUTAMBUN,12.3,509,41.38,40,925,
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,SALUTAMBUN BARAT,12.3,531,43.17,59,792,
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,SALUTAMBUN TIMUR,14.06,395,28.09,8,770,
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,TAORA,20.17,443,21.96,56,516,
SULAWESI BARAT,MAMASA,MAMASA,BOMBONG LAMBE,10.15,1258,123.94,145,350,
SULAWESI BARAT,MAMASA,MAMASA,BUBUN BATU,3.98,920,231.16,93,811,
SULAWESI BARAT,MAMASA,MAMASA,BUNTU BUDA,6.98,2503,358.6,180,800,
SULAWESI BARAT,MAMASA,MAMASA,LAMBANAN,88.31,2327,26.35,176,893,
SULAWESI BARAT,MAMASA,MAMASA,LEMBANA SALULO,4.03,700,173.7,28,780,
SULAWESI BARAT,MAMASA,MAMASA,MAMASA,7.11,2937,413.08,178,467,
SULAWESI BARAT,MAMASA,MAMASA,MAMBULILING,16.08,908,56.47,99,367,
SULAWESI BARAT,MAMASA,MAMASA,OSANGO,11.54,3539,306.67,240,912,
SULAWESI BARAT,MAMASA,MAMASA,PEBASSIAN,6.93,428,61.76,65,418,
SULAWESI BARAT,MAMASA,MAMASA,RAMBUSARATU,36.02,1770,49.14,44,104,
SULAWESI BARAT,MAMASA,MAMASA,TAUPE,22.94,1758,76.63,267,765,
SULAWESI BARAT,MAMASA,MAMASA,TONDOK BAKARU,36,2073,57.58,58,797,
SULAWESI BARAT,MAMASA,MAMBI,BUJUNG MANURUNG,3.9,344,88.21,48,466,
SULAWESI BARAT,MAMASA,MAMBI,INDOBANUA,15,339,22.6,36,884,
SULAWESI BARAT,MAMASA,MAMBI,MAMBI,6.4,1489,232.66,70,560,
SULAWESI BARAT,MAMASA,MAMBI,PAMOSEAN,13.86,386,27.85,59,782,
SULAWESI BARAT,MAMASA,MAMBI,RANTEBULAHAN,6.03,520,86.24,86,253,
SULAWESI BARAT,MAMASA,MAMBI,SALU ALO,6,561,93.5,80,334,
SULAWESI BARAT,MAMASA,MAMBI,SALUBANUA,32.06,290,9.05,7,753,
SULAWESI BARAT,MAMASA,MAMBI,SALUDURIAN,10,499,49.9,76,815,
SULAWESI BARAT,MAMASA,MAMBI,SELUMAKA,14.35,926,64.53,25,269,
SULAWESI BARAT,MAMASA,MAMBI,SENDANA,3.1,922,297.42,103,839,
SULAWESI BARAT,MAMASA,MAMBI,SONDONGLAYU,4,498,124.5,55,266,
SULAWESI BARAT,MAMASA,MAMBI,TALIPUKKI,15.07,1148,76.18,132,556,
SULAWESI BARAT,MAMASA,MAMBI,TAPALINA,8.26,652,78.93,79,752,
SULAWESI BARAT,MAMASA,MEHALAAN,BOTTENG,22.23,451,20.29,59,129,
SULAWESI BARAT,MAMASA,MEHALAAN,KONDO,14.5,251,17.31,44,320,
SULAWESI BARAT,MAMASA,MEHALAAN,LEKO SUKAMAJU,7.71,197,25.55,28,583,
SULAWESI BARAT,MAMASA,MEHALAAN,MEHALAAN,13.98,362,25.89,28,338,
SULAWESI BARAT,MAMASA,MEHALAAN,MEHALAAN BARAT,32.32,569,17.61,30,650,
SULAWESI BARAT,MAMASA,MEHALAAN,MESAKADA,8.82,459,52.04,8,831,
SULAWESI BARAT,MAMASA,MEHALAAN,PASSEMBUK,22.04,204,9.26,37,813,
SULAWESI BARAT,MAMASA,MEHALAAN,SALUAHOK,5.88,485,82.48,53,966,
SULAWESI BARAT,MAMASA,MEHALAAN,SALUBALO,8.5,294,34.59,20,399,
SULAWESI BARAT,MAMASA,MEHALAAN,SALUKONTA,19.25,457,23.74,42,691,
SULAWESI BARAT,MAMASA,MEHALAAN,ULUMEA,7.2,213,29.58,32,207,
SULAWESI BARAT,MAMASA,MESSAWA,MAKUANG,12.5,864,69.12,59,166,
SULAWESI BARAT,MAMASA,MESSAWA,MALIMBONG,18.14,391,21.55,3,116,
SULAWESI BARAT,MAMASA,MESSAWA,MATANDE,18.13,550,30.34,3,617,
SULAWESI BARAT,MAMASA,MESSAWA,MESSAWA,11.58,541,46.72,21,317,
SULAWESI BARAT,MAMASA,MESSAWA,PASMA MAMBU,11.58,538,46.46,44,386,
SULAWESI BARAT,MAMASA,MESSAWA,RIPPUNG,48.77,1156,23.7,8,358,
SULAWESI BARAT,MAMASA,MESSAWA,SEPANG,7.3,666,91.23,11,988,
SULAWESI BARAT,MAMASA,MESSAWA,SIPAI,15.09,689,45.66,34,333,
SULAWESI BARAT,MAMASA,MESSAWA,TANETE BATU,7.79,588,75.48,2,464,
SULAWESI BARAT,MAMASA,NOSU,BATUPAPAN,20.14,1039,51.59,132,260,
SULAWESI BARAT,MAMASA,NOSU,MASEWWE,14.17,656,46.29,105,381,
SULAWESI BARAT,MAMASA,NOSU,MINANGA,16.37,328,20.04,33,147,
SULAWESI BARAT,MAMASA,NOSU,MINANGA TIMUR,18.61,536,28.8,64,248,
SULAWESI BARAT,MAMASA,NOSU,NOSU,17.88,883,49.38,37,724,
SULAWESI BARAT,MAMASA,NOSU,PARINDING,9.03,305,33.78,32,930,
SULAWESI BARAT,MAMASA,NOSU,SIWI,17.13,494,28.84,57,620,
SULAWESI BARAT,MAMASA,PANA,DATUBARINGAN,7.65,951,124.31,127,686,
SULAWESI BARAT,MAMASA,PANA,KARAKA,6.21,604,97.26,54,635,
SULAWESI BARAT,MAMASA,PANA,MAMULLU,8.13,815,100.25,94,537,
SULAWESI BARAT,MAMASA,PANA,MANIPI,6.69,1218,182.06,156,435,
SULAWESI BARAT,MAMASA,PANA,PANA,8.13,579,71.22,69,501,
SULAWESI BARAT,MAMASA,PANA,PANURA,5.74,692,120.56,77,988,
SULAWESI BARAT,MAMASA,PANA,SALOAN,23.81,816,34.27,116,466,
SULAWESI BARAT,MAMASA,PANA,SALUTAMBUN,25.08,599,23.88,54,442,
SULAWESI BARAT,MAMASA,PANA,SAPAN,7.17,642,89.54,59,557,
SULAWESI BARAT,MAMASA,PANA,TALLANG BULAWAN,6.21,692,111.43,84,994,
SULAWESI BARAT,MAMASA,PANA,ULUSALU,34.52,525,15.21,69,185,
SULAWESI BARAT,MAMASA,PANA,ULUSALU INDAH,13.85,531,38.34,39,845,
SULAWESI BARAT,MAMASA,PANA,WERI,27.36,499,18.24,51,209,
SULAWESI BARAT,MAMASA,RANTEBULAHAN TIMUR,BAMBANG BUDA,1.58,881,557.59,29,985,
SULAWESI BARAT,MAMASA,RANTEBULAHAN TIMUR,BUANGIN,6.13,831,135.56,88,253,
SULAWESI BARAT,MAMASA,RANTEBULAHAN TIMUR,KIRAK,7.13,568,79.66,89,224,
SULAWESI BARAT,MAMASA,RANTEBULAHAN TIMUR,LEKO,1.19,230,193.28,27,812,
SULAWESI BARAT,MAMASA,RANTEBULAHAN TIMUR,SALUMOKANAN,5.24,686,130.92,83,675,
SULAWESI BARAT,MAMASA,RANTEBULAHAN TIMUR,SALUMOKANAN BARAT,1.58,912,577.22,99,295,
SULAWESI BARAT,MAMASA,RANTEBULAHAN TIMUR,SALUMOKANAN UTARA,7.86,794,101.02,54,402,
SULAWESI BARAT,MAMASA,RANTEBULAHAN TIMUR,SAMPALE,1.16,398,343.1,48,568,
SULAWESI BARAT,MAMASA,SESENAPADANG,LISUAN ADA,14.94,648,43.37,62,981,
SULAWESI BARAT,MAMASA,SESENAPADANG,MALANGKENA PADANG,21.09,614,29.11,80,649,
SULAWESI BARAT,MAMASA,SESENAPADANG,MALIMBONG,13.03,264,20.26,25,666,
SULAWESI BARAT,MAMASA,SESENAPADANG,MARAMPAN OROBUA,10.07,409,40.62,24,155,
SULAWESI BARAT,MAMASA,SESENAPADANG,OROBUA,14.44,1720,119.11,145,194,
SULAWESI BARAT,MAMASA,SESENAPADANG,OROBUA SELATAN,15.16,544,35.88,70,356,
SULAWESI BARAT,MAMASA,SESENAPADANG,OROBUA TIMUR,15.54,411,26.45,32,574,
SULAWESI BARAT,MAMASA,SESENAPADANG,PALADAN,11.33,590,52.07,69,504,
SULAWESI BARAT,MAMASA,SESENAPADANG,RANTE PUANG,18.3,1174,64.15,84,312,
SULAWESI BARAT,MAMASA,SESENAPADANG,SATENETEAN,17.09,459,26.86,54,908,
SULAWESI BARAT,MAMASA,SUMARORONG,BANEA,23.9,779,32.59,85,491,
SULAWESI BARAT,MAMASA,SUMARORONG,BATANG URU,30.9,1052,34.05,14,219,
SULAWESI BARAT,MAMASA,SUMARORONG,BATANGNGURU TIMUR,39.83,954,23.95,68,555,
SULAWESI BARAT,MAMASA,SUMARORONG,RANTE KAMASE,15.22,1367,89.82,44,477,
SULAWESI BARAT,MAMASA,SUMARORONG,SALUBALO,17.83,961,53.9,80,152,
SULAWESI BARAT,MAMASA,SUMARORONG,SASAKAN,37.72,1303,34.54,113,721,
SULAWESI BARAT,MAMASA,SUMARORONG,SIBANAWA,29.43,1079,36.66,88,664,
SULAWESI BARAT,MAMASA,SUMARORONG,SUMARORONG,14.06,1501,106.76,31,113,
SULAWESI BARAT,MAMASA,SUMARORONG,TABONE,15.79,1022,64.72,66,828,
SULAWESI BARAT,MAMASA,SUMARORONG,TADISI,29.32,562,19.17,22,435,
